episode,reward,success,length
278,-0.18074723,0,2
279,-0.1,0,1
280,1.0615613,1,1
281,-0.027958818,1,2
282,-0.1,0,1
283,-0.1,0,1
284,-0.1,0,1
285,0.5279346,1,1
286,-0.1,0,1
287,-0.1,0,1
288,-0.1,0,1
289,1.222514,1,1
290,-0.1,0,1
291,-0.1,0,1
292,0.60723495,1,1
293,-0.1,0,1
294,-0.1,0,1
295,-0.1,0,1
296,0.6311581,1,1
297,1.1886357,1,2
298,-0.1,0,1
299,1.1282234,1,1
300,-0.1,0,1
301,1.1953677,1,2
302,0.4936419,1,2
303,-0.1,0,1
304,0.989605,1,1
305,-0.1,0,1
306,1.0365378,1,1
307,-0.1,0,1
308,-0.1,0,1
309,-0.1,0,1
310,-0.1,0,1
311,-0.1,0,1
312,0.02139327,1,2
313,1.0502522,1,2
314,1.1521531,1,1
315,1.0540794,1,1
316,-0.1,0,1
317,1.0992987,1,1
318,-0.1,0,1
319,1.0892673,1,1
320,-0.1,0,1
321,-0.14970142,0,2
322,0.98510945,1,2
323,1.0140971,1,2
324,-0.1,0,1
325,0.53312534,1,1
326,-0.1,0,1
327,-0.1,0,1
328,-0.1,0,1
329,1.0460191,1,1
330,1.0537275,1,1
331,-0.1,0,1
332,1.0768498,1,1
333,1.0987319,1,1
334,-0.1,0,1
335,-0.1,0,1
336,-0.1,0,1
337,-0.13204463,0,3
338,-0.1,0,1
339,0.58210987,1,1
340,-0.1,0,1
341,-0.1,0,1
342,-0.15736653,1,5
343,1.0417174,1,1
344,-0.1839419,1,3
345,0.6994472,1,1
346,-0.1,0,1
347,-0.1,0,1
348,-0.1,0,1
349,-0.1,0,1
350,-0.1,0,1
351,-0.1,0,1
352,1.1698004,1,1
353,1.1146829,1,1
354,1.0889385,1,1
355,-0.1,0,1
356,0.576473,1,1
357,-0.1587487,0,2
358,-0.1,0,1
359,-0.1,0,1
360,-0.1,0,1
361,1.0957301,1,1
362,-0.07773107,1,2
363,-0.1,0,1
364,-0.1,0,1
365,-0.1,0,1
366,-0.1,0,1
367,-0.20198306,0,2
368,-0.1,0,1
369,-0.1,0,1
370,-0.1,0,1
371,1.1147485,1,1
372,-0.1,0,1
373,0.7117084,1,1
374,-0.1,0,1
375,-0.1,0,1
376,-0.1,0,1
377,-0.1,0,1
378,0.9512392,1,4
379,-0.1,0,1
380,-0.1,0,1
381,-0.1,0,1
382,1.0743943,1,1
383,-0.1,0,1
384,-0.1,0,1
385,-0.1,0,1
386,-0.1,0,1
387,-0.1,0,1
388,-0.15077136,0,2
389,-0.051791906,1,3
390,-0.1,0,1
391,1.2053791,1,1
392,1.057483,1,1
393,-0.1,0,1
394,-0.038799047,1,3
395,1.1401216,1,1
396,-0.1,0,1
397,-0.1,0,1
398,-0.1,0,1
399,0.5676796,1,1
400,-0.17021367,0,2
401,-0.09225564,1,2
402,-0.1,0,1
403,-0.1,0,1
404,-0.1,0,1
405,-0.1561338,0,2
406,-0.12705743,0,2
407,-0.1,0,1
408,-0.1,0,1
409,-0.1,0,1
410,1.0821646,1,1
411,-0.1,0,1
412,-0.1,0,1
413,-0.1,0,1
414,-0.1,0,1
415,-0.1,0,1
416,-0.1,0,1
417,-0.1,0,1
418,-0.1,0,1
419,-0.1,0,1
420,-0.1,0,1
421,-0.1,0,1
422,1.0597074,1,1
423,1.1046401,1,1
424,1.1277112,1,1
425,-0.1,0,1
426,-0.1,0,1
427,-0.1,0,1
428,-0.056698907,1,2
429,-0.1,0,1
430,-0.1,0,1
431,1.063302,1,1
432,-0.1,0,1
433,-0.1,0,1
434,1.1453531,1,1
435,-0.10062288,0,2
436,1.0894355,1,1
437,-0.061133057,1,2
438,-0.1,0,1
439,0.60073924,1,1
440,-0.1,0,1
441,-0.1,0,1
442,0.6459331,1,1
443,-0.1,0,1
444,-0.1,0,1
445,-0.1,0,1
446,-0.1,0,1
447,-0.1,0,1
448,1.0250695,1,1
449,-0.1,0,1
450,1.1812463,1,2
451,-0.1,0,1
452,0.9819876,1,2
453,-0.1,0,1
454,-0.28099108,0,3
455,-0.1,0,1
456,-0.1,0,1
457,-0.1,0,1
458,-0.1,0,1
459,-0.10918938,0,2
460,-0.1,0,1
461,1.2905476,1,2
462,-0.058006607,1,3
463,0.8741204,1,3
464,-0.1,0,1
465,-0.1,0,1
466,-0.1,0,1
467,-0.1,0,1
468,1.0847473,1,1
469,-0.05250319,1,3
470,-0.1,0,1
471,-0.121727124,0,2
472,-0.107072935,0,2
473,1.0669776,1,2
474,-0.1,0,1
475,1.0392721,1,1
476,-0.1,0,1
477,-0.1,0,1
478,-0.1,0,1
479,-0.1,0,1
480,-0.1,0,1
481,-0.1,0,1
482,1.0953044,1,1
483,-0.15652744,0,2
484,1.0169843,1,2
485,-0.1,0,1
486,-0.1,0,1
487,-0.1,0,1
488,-0.1,0,1
489,1.1204294,1,1
490,-0.20467317,0,3
491,-0.1,0,1
492,-0.1,0,1
493,-0.1,0,1
494,-0.1,0,1
495,-0.08209059,1,2
496,-0.1,0,1
497,-0.1,0,1
498,-0.1,0,1
499,-0.1,0,1
500,1.115672,1,1
501,1.0258023,1,1
502,-0.1,0,1
503,-0.07957935,1,2
504,1.0909035,1,1
505,-0.1,0,1
506,0.92752886,1,2
507,1.0428581,1,1
508,-0.1,0,1
509,-0.1,0,1
510,-0.1,0,1
511,-0.1,0,1
512,0.75685173,1,1
513,1.0618523,1,1
514,-0.1771178,0,2
515,1.1870862,1,1
516,0.5526379,1,1
517,1.0732436,1,1
518,-0.1,0,1
519,-0.1,0,1
520,-0.14011675,0,2
521,-0.1,0,1
522,1.1019397,1,1
523,-0.1,0,1
524,-0.1,0,1
525,-0.1,0,1
526,-0.1,0,1
527,-0.1,0,1
528,-0.1,0,1
529,-0.1,0,1
530,-0.1,0,1
531,-0.1,0,1
532,-0.1,0,1
533,-0.1,0,1
534,-0.1,0,1
535,0.5882943,1,1
536,-0.1,0,1
537,1.1334165,1,1
538,-0.1,0,1
539,1.1053733,1,1
540,1.155941,1,1
541,-0.1,0,1
542,-0.11819329,0,2
543,-0.1,0,1
544,-0.1,0,1
545,-0.1,0,1
546,1.1919787,1,2
547,-0.12521029,0,2
548,-0.1,0,1
549,1.1849121,1,1
550,1.0872883,1,1
551,-0.015637934,1,2
552,-0.1,0,1
553,1.116554,1,1
554,-0.09105862,1,2
555,-0.1,0,1
556,1.1189914,1,1
557,0.5254102,1,1
558,0.9193289,1,3
559,-0.1,0,1
560,0.57369614,1,1
561,-0.1,0,1
562,-0.07551642,1,2
563,1.0781516,1,1
564,-0.1,0,1
565,-0.1,0,1
566,-0.1,0,1
567,-0.1,0,1
568,-0.1,0,1
569,-0.1,0,1
570,-0.1,0,1
571,-0.1,0,1
572,1.0482895,1,1
573,-0.1,0,1
574,-0.1,0,1
575,-0.1,0,1
576,-0.1,0,1
577,-0.1,0,1
578,1.0672569,1,1
579,1.1463664,1,1
580,1.077429,1,2
581,0.5646218,1,1
582,1.0777106,1,3
583,-0.1,0,1
584,-0.10803802,0,2
585,-0.1,0,1
586,-0.1,0,1
587,-0.1,0,1
588,-0.1,0,1
589,-0.1,0,1
590,-0.1,0,1
591,-0.1,0,1
592,-0.1,0,1
593,1.0916034,1,1
594,1.1475825,1,2
595,0.57310426,1,2
596,-0.1,0,1
597,-0.1,0,1
598,-0.1,0,1
599,-0.1,0,1
600,-0.1,0,1
601,-0.1,0,1
602,-0.1,0,1
603,-0.1,0,1
604,-0.1,0,1
605,-0.1,0,1
606,1.0834817,1,1
607,0.6649134,1,1
608,-0.1,0,1
609,-0.1,0,1
610,-0.1,0,1
611,-0.1,0,1
612,0.5488056,1,1
613,-0.1,0,1
614,-0.1,0,1
615,-0.1,0,1
616,1.1211991,1,1
617,-0.1,0,1
618,-0.1,0,1
619,0.99854064,1,1
620,-0.1,0,1
621,-0.08062921,1,2
622,-0.1,0,1
623,-0.1,0,1
624,-0.1,0,1
625,-0.1,0,1
626,-0.1,0,1
627,-0.1,0,1
628,-0.08368397,1,2
629,-0.1,0,1
630,-0.1,0,1
631,-0.1,0,1
632,1.0767592,1,1
633,-0.1,0,1
634,-0.1,0,1
635,-0.1,0,1
636,-0.15688653,0,2
637,0.9104285,1,1
638,-0.17776117,0,2
639,1.1240902,1,1
640,-0.1,0,1
641,-0.1,0,1
642,-0.1,0,1
643,-0.021577418,1,2
644,-0.1,0,1
645,-0.1,0,1
646,-0.1,0,1
647,-0.1,0,1
648,1.0191321,1,1
649,-0.1,0,1
650,-0.1,0,1
651,-0.1,0,1
652,1.0210901,1,1
653,-0.1,0,1
654,-0.1,0,1
655,1.1456391,1,1
656,1.1789565,1,1
657,-0.23825032,0,3
658,-0.1,0,1
659,-0.1,0,1
660,-0.1,0,1
661,0.57892543,1,1
662,-0.1,0,1
663,1.0071762,1,1
664,-0.1,0,1
665,-0.1,0,1
666,1.0900542,1,2
667,1.1265363,1,1
668,-0.1,0,1
669,1.0280136,1,2
670,-0.1,0,1
671,1.1239479,1,1
672,1.13561,1,1
673,-0.1,0,1
674,1.1546506,1,1
675,1.0822184,1,1
676,-0.1,0,1
677,-0.1,0,1
678,-0.1,0,1
679,1.0055813,1,4
680,-0.1,0,1
681,-0.1,0,1
682,-0.1,0,1
683,1.0142993,1,3
684,-0.11387125,0,2
685,-0.1,0,1
686,-0.1,0,1
687,1.0482816,1,1
688,-0.1,0,1
689,-0.1,0,1
690,-0.1,0,1
691,0.6496138,1,1
692,1.0724007,1,1
693,-0.1,0,1
694,-0.1,0,1
695,-0.02426944,1,2
696,-0.1,0,1
697,0.46236986,1,1
698,-0.06311946,1,2
699,-0.1,0,1
700,-0.1,0,1
701,-0.1,0,1
702,1.0736293,1,1
703,-0.1,0,1
704,0.59724337,1,1
705,-0.1,0,1
706,-0.15955709,0,2
707,-0.1,0,1
708,1.092347,1,1
709,1.0668788,1,1
710,-0.1,0,1
711,-0.1,0,1
712,-0.1,0,1
713,1.0479803,1,3
714,-0.1,0,1
715,-0.1,0,1
716,1.0795544,1,1
717,-0.1,0,1
718,-0.09891452,1,3
