episode,reward,success,length
281,-0.1,0,1
282,-0.1,0,1
283,0.3733686,1,1
284,-0.1,0,1
285,-0.1,0,1
286,0.37203646,1,1
287,0.4419871,1,1
288,-0.1,0,1
289,-0.1,0,1
290,0.41792643,1,1
291,0.3132888,1,1
292,-0.1,0,1
293,-0.1,0,1
294,-0.1,0,1
295,-0.1,0,1
296,-0.1,0,1
297,-0.1,0,1
298,0.37349007,1,1
299,0.30872345,1,1
300,-0.1,0,1
301,0.33514497,1,1
302,-0.1,0,1
303,0.31846523,1,1
304,0.3732823,1,1
305,0.45435444,1,1
306,-0.1,0,1
307,0.4200771,1,1
308,-0.1,0,1
309,-0.1,0,1
310,-0.1,0,1
311,-0.1,0,1
312,-0.1,0,1
313,-0.1,0,1
314,-0.1,0,1
315,-0.1,0,1
316,0.39030275,1,1
317,-0.1,0,1
318,0.4792117,1,1
319,0.3201137,1,1
320,-0.1,0,1
321,0.43609565,1,1
322,0.4234931,1,1
323,-0.1,0,1
324,0.44034913,1,1
325,-0.1,0,1
326,-0.1,0,1
327,-0.1,0,1
328,-0.1,0,1
329,0.34644142,1,1
330,0.3053237,1,1
331,-0.1,0,1
332,0.32587942,1,1
333,0.3180501,1,1
334,-0.1,0,1
335,-0.1,0,1
336,-0.1,0,1
337,-0.1,0,1
338,-0.1,0,1
339,0.32262665,1,1
340,0.3536298,1,1
341,0.5016352,1,1
342,-0.1,0,1
343,-0.1,0,1
344,0.3913477,1,1
345,0.35136363,1,1
346,-0.1,0,1
347,-0.1,0,1
348,-0.1,0,1
349,0.3740413,1,1
350,-0.1,0,1
351,-0.1,0,1
352,0.16229126,1,1
353,-0.1,0,1
354,-0.1,0,1
355,-0.1,0,1
356,0.43005154,1,1
357,-0.1,0,1
358,0.37131864,1,1
359,0.37047735,1,1
360,-0.1,0,1
361,-0.1,0,1
362,0.39914757,1,1
363,0.26511592,1,1
364,0.47778603,1,1
365,-0.1,0,1
366,0.47539654,1,1
367,-0.1,0,1
368,-0.1,0,1
369,0.36624384,1,1
370,0.22339326,1,1
371,-0.1,0,1
372,-0.1,0,1
373,-0.1,0,1
374,-0.1,0,1
375,0.30342984,1,1
376,0.41592747,1,1
377,-0.1,0,1
378,-0.1,0,1
379,0.48274502,1,1
380,-0.1,0,1
381,0.45774874,1,1
382,-0.1,0,1
383,0.2989098,1,1
384,-0.1,0,1
385,0.3592314,1,1
386,0.41257712,1,1
387,-0.1,0,1
388,-0.1,0,1
389,-0.1,0,1
390,-0.1,0,1
391,-0.1,0,1
392,0.295189,1,1
393,-0.1,0,1
394,-0.1,0,1
395,-0.1,0,1
396,-0.1,0,1
397,0.4076204,1,1
398,-0.1,0,1
399,-0.1,0,1
400,-0.1,0,1
401,0.478969,1,1
402,0.4240199,1,1
403,-0.1,0,1
404,0.3711466,1,1
405,0.3180351,1,1
406,-0.1,0,1
407,-0.1,0,1
408,-0.1,0,1
409,-0.1,0,1
410,-0.1,0,1
411,-0.1,0,1
412,-0.1,0,1
413,-0.1,0,1
414,-0.1,0,1
415,-0.1,0,1
416,0.37671497,1,1
417,-0.1,0,1
418,-0.1,0,1
419,0.4336597,1,1
420,-0.1,0,1
421,-0.1,0,1
422,-0.1,0,1
423,-0.1,0,1
424,-0.1,0,1
425,-0.1,0,1
426,0.18985412,1,1
427,-0.1,0,1
428,0.42740208,1,1
429,-0.1,0,1
430,-0.1,0,1
431,0.42050084,1,1
432,0.18923397,1,1
433,-0.1,0,1
434,-0.1,0,1
435,0.37541494,1,1
436,0.3717665,1,1
437,-0.1,0,1
438,-0.1,0,1
439,0.32727256,1,1
440,-0.1,0,1
441,0.36116207,1,1
442,-0.1,0,1
443,0.24830845,1,1
444,-0.1,0,1
445,-0.1,0,1
446,-0.1,0,1
447,-0.1,0,1
448,0.3939556,1,1
449,0.352616,1,1
450,-0.1,0,1
451,-0.1,0,1
452,-0.1,0,1
453,-0.1,0,1
454,-0.1,0,1
455,-0.1,0,1
456,0.44711894,1,1
457,-0.1,0,1
458,0.41800535,1,1
459,-0.1,0,1
460,-0.1,0,1
461,-0.1,0,1
462,0.31909198,1,1
463,-0.1,0,1
464,0.272541,1,1
465,-0.1,0,1
466,-0.1,0,1
467,0.397802,1,1
468,0.3116068,1,1
469,0.4399972,1,1
470,-0.1,0,1
471,-0.1,0,1
472,-0.1,0,1
473,0.37377825,1,1
474,0.39723843,1,1
475,0.36140656,1,1
476,-0.1,0,1
477,-0.1,0,1
478,-0.1,0,1
479,-0.1,0,1
480,-0.1,0,1
481,0.31098807,1,1
482,0.4189879,1,1
483,-0.1,0,1
484,0.33960497,1,1
485,-0.1,0,1
486,-0.1,0,1
487,-0.1,0,1
488,-0.1,0,1
489,-0.1,0,1
490,0.46893686,1,1
491,0.24636286,1,1
492,-0.1,0,1
493,0.35162485,1,1
494,-0.1,0,1
495,0.24024546,1,1
496,0.42571136,1,1
497,0.3813553,1,1
498,-0.1,0,1
499,-0.1,0,1
