episode,reward
0,0.36913432333485297
1,0.41391249385499285
2,-0.1
3,-0.1
4,-0.1
5,-0.1
6,-0.1
7,-0.1
8,-0.1
9,-0.1
10,-0.1
11,-0.1
12,0.4480777940282208
13,-0.1
14,-0.1
15,-0.1
16,-0.1
17,0.33786916539128914
18,-0.1
19,0.2993680932078241
20,-0.1
21,-0.1
22,0.44620238321034555
23,0.4128682586641355
24,0.40943759850104755
25,0.3412205743285908
26,0.4186376444076763
27,-0.1
28,-0.1
29,-0.1
30,-0.1
31,-0.1
32,-0.1
33,-0.1
34,-0.1
35,0.4253933556869068
36,-0.1
37,-0.1
38,-0.1
39,-0.1
40,-0.1
41,-0.1
42,-0.1
43,-0.1
44,0.3731913452096924
45,0.2922028192092621
46,-0.1
47,0.29253272204100705
48,-0.1
49,0.49318906757935355
50,-0.1
51,-0.1
52,0.41233888360092996
53,0.43837114237426855
54,-0.1
55,-0.1
56,-0.1
57,0.3647132449453624
58,-0.1
59,0.26272201476977036
60,-0.1
61,-0.1
62,-0.1
63,-0.1
64,-0.1
65,0.37271668912690537
66,-0.1
67,-0.1
68,-0.1
69,0.45636652556338786
70,-0.1
71,-0.1
72,0.42931277970490356
73,-0.1
74,-0.1
75,0.36076970712291256
76,0.3727616097173114
77,0.4265348791100845
78,-0.1
79,0.42571643243640284
80,-0.1
81,-0.1
82,-0.1
83,0.25002453319870693
84,-0.1
85,-0.1
86,0.4186656664215723
87,0.3069323079254013
88,-0.1
89,-0.1
90,0.3634446510113869
91,0.3639464821947377
92,0.44929631139845894
93,-0.1
94,-0.1
95,-0.1
96,-0.1
97,-0.1
98,0.42844978491627006
99,0.45308743348597624
100,-0.1
101,-0.1
102,-0.1
103,-0.1
104,0.38648189632375085
105,-0.1
106,0.42904444458878005
107,0.39528162646683784
108,-0.1
109,0.4267997678250332
110,-0.1
111,-0.1
112,-0.1
113,-0.1
114,-0.1
115,-0.1
116,0.4089123277851409
117,0.21266691302463378
118,0.40928101138488654
119,-0.1
120,-0.1
121,-0.1
122,-0.1
123,-0.1
124,0.18527491992169032
125,-0.1
126,-0.1
127,-0.1
128,-0.1
129,0.35453694616439435
130,-0.1
131,-0.1
132,-0.1
133,-0.1
134,0.3267704044829074
135,-0.1
136,0.4872363110334548
137,-0.1
138,0.3494552653650707
139,-0.1
140,0.4122729481741587
141,0.4000799300297083
142,-0.1
143,-0.1
144,-0.1
145,-0.1
146,-0.1
147,0.5597487602687818
148,0.20775857404434592
149,0.4134694837135253
150,-0.1
151,-0.1
152,-0.1
153,-0.1
154,-0.1
155,-0.1
156,0.4181432251700514
157,0.3902390207633783
158,-0.1
159,0.37730240092789274
160,-0.1
161,-0.1
162,-0.1
163,-0.1
164,0.39995150248061445
165,-0.1
166,-0.1
167,-0.1
168,-0.1
169,-0.1
170,-0.1
171,0.36497908941939305
172,-0.1
173,-0.1
174,0.22021624453734215
175,-0.1
176,-0.1
177,-0.1
178,-0.1
179,0.4495211749785641
180,-0.1
181,-0.1
182,0.40234601291856253
183,-0.1
184,0.33687283561884435
185,-0.1
186,-0.1
187,-0.1
188,-0.1
189,-0.1
190,0.45355744564951544
191,0.40822605189327704
192,-0.1
193,-0.1
194,-0.1
195,-0.1
196,0.3882115439568168
197,-0.1
198,0.3416907472171387
199,-0.1
200,0.12019769291952498
201,-0.1
202,-0.1
203,-0.1
204,-0.1
205,-0.1
206,-0.1
207,0.44173265099990344
208,-0.1
209,0.4312126340136186
210,-0.1
211,0.316648097411263
212,-0.1
213,-0.1
214,-0.1
215,0.4307845111855312
216,0.37477598294743614
217,-0.1
218,-0.1
219,-0.1
220,-0.1
221,0.3287481046201011
222,0.35563746812255714
223,0.36065649353351503
224,-0.1
225,-0.1
226,-0.1
227,-0.1
228,-0.1
229,-0.1
230,-0.1
231,-0.1
232,-0.1
233,-0.1
234,-0.1
235,-0.1
236,-0.1
237,0.3729719346299697
238,-0.1
239,-0.1
240,-0.1
241,0.38168484187720386
242,0.4486141802007013
243,-0.1
244,-0.1
245,-0.1
246,0.36299861373898873
247,-0.1
248,-0.1
249,-0.1
250,-0.1
251,-0.1
252,-0.1
253,-0.1
254,0.3524407456485068
255,-0.1
256,-0.1
257,-0.1
258,-0.1
259,-0.1
260,0.38715388839446696
261,0.36331775689305995
262,0.43446580907838495
263,-0.1
264,-0.1
265,0.38124619749210903
266,0.4520566929620835
267,-0.1
268,-0.1
269,0.464732363597054
270,-0.1
271,-0.1
