episode,reward
0,-0.1
1,-0.1
2,-0.1
3,-0.1
4,-0.1
5,-0.1
6,-0.1
7,0.580356511847737
8,-0.1
9,-0.1
10,-0.1
11,-0.1
12,-0.1
13,-0.1
14,-0.1
15,-0.1
16,-0.1
17,-0.1
18,-0.1
19,1.010629279707287
20,1.0721002771306811
21,1.136885830970084
22,0.016199083343376046
23,-0.1
24,-0.1
25,-0.1
26,0.01927907275185118
27,-0.1
28,-0.1
29,-0.1
30,-0.1
31,-0.1
32,-0.1
33,0.474375600219484
34,-0.1
35,-0.07950347618612258
36,-0.08879777889291386
37,-0.030138605940681105
38,-0.1
39,0.577355506981317
40,0.00683759111600646
41,-0.1
42,-0.1
43,-0.1
44,-0.1
45,-0.054678963350893915
46,-0.1
47,-0.023205841354340714
48,-0.1
49,-0.1
50,-0.1
51,-0.1
52,0.017362296396479737
53,-0.1
54,0.01490229177198043
55,-0.1
56,-0.1
57,-0.1
58,-0.1
59,-0.1
60,-0.1
61,-0.1
62,0.9051901204698103
63,-0.1
64,1.1130730961480655
65,-0.1
66,-0.1
67,-0.1
68,0.44238004041092494
69,-0.1
70,0.026726628489669606
71,-0.05412724074617771
72,-0.1
73,-0.1
74,-0.1
75,-0.1
76,1.1254223634159355
77,-0.1
78,-0.1
79,-0.1
80,1.025385376991225
81,-0.1
82,-0.1
83,-0.1
84,-0.1
85,0.012552200947462277
86,-0.1
87,-0.1
88,-0.1
89,1.129370763275254
90,1.0641184673153643
91,-0.1
92,0.06498555639574372
93,-0.1
94,0.006075433094438776
95,1.0729009052925749
96,-0.1
97,-0.1
98,-0.1
99,1.0716471988760947
100,-0.1
101,1.053295222538663
102,-0.1
103,-0.1
104,-0.1
105,-0.1
106,-0.1
107,-0.1
108,0.05811531610957068
109,-0.1
110,-0.1
111,0.108644150528582
112,-0.1
113,1.1141247068424462
114,-0.1
115,-0.040148050034299776
116,-0.1
117,-0.1
118,1.0477356182118192
119,-0.1
120,0.6833990547178591
121,-0.1
122,-0.1
123,-0.1
124,-0.1
125,1.0608664822362985
126,-0.1
127,-0.1
128,-0.1
129,0.026043003146434894
130,-0.1
131,-0.1
132,-0.1
133,-0.1
134,-0.1
135,-0.1
136,0.7129913462757247
137,0.8727489735940108
138,-0.025072575371939607
139,0.0505944832646221
140,1.0889849459831715
141,-0.1
142,-0.1
143,-0.1
144,1.0506588095308618
145,-0.014649841912828327
146,-0.1
147,-0.1
148,-0.1
149,-0.1
150,0.6417786308632097
151,-0.1
152,-0.044322062149686675
153,-0.07877191382281042
154,-0.05254439489098586
155,-0.1
156,1.2111670714620146
157,0.00249282042615547
158,1.0481052042408323
159,-0.1
160,-0.1
161,0.010971088675788524
162,-0.0040320334468813696
163,-0.1
164,-0.1
165,-0.1
166,-0.1
167,-0.1
168,1.0950981148670504
169,1.0551393422548792
170,0.525958283306926
171,1.076784420106068
172,-0.1
173,-0.017457264907558643
174,-0.1
175,-0.1
176,-0.1
177,-0.1
178,-0.1
179,-0.1
180,1.072375745410789
181,0.624524189771816
182,-0.1
183,-0.1
184,-0.1
185,-0.1
186,-0.1
187,-0.0013129000585465865
188,-0.1
189,0.03295267412358475
190,-0.1
191,-0.1
192,0.07216182922640184
193,-0.1
194,-0.1
195,-0.1
196,-0.1
197,-0.1
198,1.0776779203894948
199,-0.1
200,-0.1
201,-0.1
202,1.0939449804511192
203,-0.1
204,0.027846781605308436
205,-0.026631294902288175
206,-0.1
207,-0.06323192912745453
208,-0.1
209,-0.034260889863583784
210,-0.02909920910826542
211,-0.1
212,-0.1
213,1.0500053339481863
214,0.00030327594774635924
215,0.04922278105697954
216,-0.1
217,0.0063287148717572714
218,-0.1
219,-0.1
220,-0.1
221,-0.1
222,-0.1
223,-0.1
224,-0.1
225,-0.1
226,-0.1
227,-0.1
228,-0.1
229,-0.1
230,-0.1
231,-0.1
232,-0.1
233,0.08205788919497013
234,-0.1
235,-0.1
236,-0.1
237,-0.1
238,-0.1
239,-0.129668967824192
240,-0.1
241,-0.1
242,0.9731744197115096
243,0.8792098306638514
244,-0.1
245,-0.1
246,0.0855494708051247
247,-0.1
248,-0.1
249,-0.1
250,-0.1
251,-0.1
252,-0.01708809144131206
253,1.0810451325579244
254,1.102356207921999
255,0.03354564091561074
256,1.0411511962750397
257,-0.04122882816343447
258,-0.037000070360426976
259,-0.04686878166511396
260,-0.10768702156346854
261,-0.1
262,-0.1
263,0.49576704975762736
264,1.0980661217921026
265,0.08016699854565686
266,-0.026483679618525116
267,-0.1
268,-0.1
269,1.0066018133153891
270,-0.1
271,0.002435452834642979
272,1.0867233379632877
273,-0.1
274,1.079686176533008
275,-0.1
276,-0.1
277,1.053076203273019
278,-0.1
279,-0.1
280,0.06522280513131906
281,-0.1
282,-0.1
283,-0.1
284,0.6641022147189769
285,1.1288933959552643
286,-0.1
287,-0.1
288,-0.1
289,-0.01099038310476162
290,1.083897042740174
291,-0.1
292,-0.1
293,1.0889091534015387
294,1.011880328171121
295,-0.1
